"","driverId","lap_number","lap_time","pitstop","pitstop_lagged"
"855",17,55,93415,FALSE,0
"856",17,56,94704,FALSE,0
"857",18,1,114641,FALSE,0
"858",18,2,99961,FALSE,0
"859",18,3,98516,FALSE,0
"860",18,4,98055,FALSE,0
"861",18,5,97682,FALSE,0
"862",18,6,97701,FALSE,0
"863",18,7,98016,FALSE,0
"864",18,8,98789,FALSE,0
"865",18,9,97764,FALSE,0
"866",18,10,97942,FALSE,0
"867",18,11,97731,FALSE,0
"868",18,12,98561,FALSE,0
"869",18,13,104068,FALSE,0
"870",18,14,120421,TRUE,0
"871",18,15,108305,FALSE,1
"872",18,16,102319,FALSE,0
"873",18,17,100951,FALSE,0
"874",18,18,97419,FALSE,0
"875",18,19,97670,FALSE,0
"876",18,20,98628,FALSE,0
"877",18,21,101479,FALSE,0
"878",18,22,99227,FALSE,0
"879",18,23,97839,FALSE,0
"880",18,24,97968,FALSE,0
"881",18,25,99762,FALSE,0
"882",18,26,98298,FALSE,0
"883",18,27,98654,FALSE,0
"884",18,28,97660,FALSE,0
"885",18,29,97263,FALSE,0
"886",18,30,98616,FALSE,0
"887",18,31,97611,FALSE,0
"888",18,32,97496,FALSE,0
"889",18,33,99417,FALSE,0
"890",18,34,100258,FALSE,0
"891",18,35,98446,FALSE,0
